Tarih,Boy,Kilo,Beden,Yorum,Ürün Adı
06 Ocak 2025,Boy: 167cm,Kilo: 71kg,Beden: XL,"Olduğunuzdan çok şişman gösteriyor, trikosu kalın, ağır bir elbise, iade",Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
12 Aralık 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,90 kiloyum 46 beden aldım gayetde beğendim tavsiye ederim,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
12 Aralık 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,Baya iyi geldi bedeninize göre alın güzel oturuyor,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
28 Kasım 2024,Boy: 160cm,Kilo: 80kg,size: 2XL,örgü kazak elbise olduğu için çok sıcak tutuyor. görüntü olarak da çok şık oldu gerçekten,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
22 Kasım 2024,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,Anneanneme aldim begendi uzerine tam oturdu,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
02 Mart 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,Kendi bedeninizi alın. Güzel duruyor. Sıcak tutuyor. Soğuklarda kurtarıcı oldu benim için.,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
23 Şubat 2025,Boy: 160cm,Kilo: 77kg,Beden: 3XL,Yorumları okuyup kiloma boyuma uygun olan bedeni buldum.Kalın tam kışlık,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
24 Ocak 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,cox gozeldi.şəkildekinnende gozeldi,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
15 Ocak 2025,Boy: 167cm,Kilo: 61kg,Beden: XL,Aşırı kilolu gösteriyor,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
08 Ocak 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 4XL,Annem için hediye olarak almıştım çok güzel geldi ve kalıbı tam oturdu,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
04 Ocak 2025,Boy: 168cm,Kilo: 83kg,Beden: 2XL,Sürekli yukarı çıkıyor bollaşıyor bu fiyatı haketmiyor,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
06 Aralık 2024,Boy: 166cm,Kilo: 78kg,Beden: 3XL,Elbise olayyy 80 kilo 167 boy 46 aldım cokguzel oturdu tam beden alin bencee,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
17 Kasım 2024,Boy: 158cm,Kilo: 100kg,size: 3XL,Çok şık kalın bir elbise işyerinde giymelik tam olarak boyum 160 dizüstü oldu mankendeki gibi uzun değil çok güzel,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
13 Kasım 2024,Boy: 165cm,Kilo: 85kg,size: 3XL,cok guzel bayildim tsk ederim 💯💯💯,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
02 Kasım 2024,Bilgi mevcut değil,Bilgi mevcut değil,size: 3XL,çok güzel . aşiri rahat,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
23 Ekim 2024,Boy: 160cm,Kilo: 74kg,size: 2XL,çok güzel üzerimde çok güzel durdu kalitesi herşeyiyle süper,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
21 Ekim 2024,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,"Ürün güzel tam kışlık, 165cm 67 kiloyum Xl aldım, göbeğim olduğu için, fena değil",Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
19 Ekim 2024,Boy: 180cm,Kilo: 108kg,size: 5XL,boy 180/kg 120 çok güzel oldu. kalın bir elbise. önde inci gorunumlu düğmesi var,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
17 Ekim 2024,Boy: 175cm,Kilo: 140kg,size: 4XL,Bayılarak almıştım hiçte yorum yoktu benim gibi almak isteyenler için atıyorum ben 175 im arkadaşlar aşırı kısa oldu iade etmek durumundayım benden kısaysanız çok hoş olucaktır bence 🥰🥺,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
01 Şubat 2025,Boy: 160cm,Kilo: 100kg,Beden: 4XL,"Ürün çok güzel, trikosu kaliteli 160 boy için dizhizasından aşağı...",Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
30 Ocak 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,"Çok beğendim, kendi bedeninizi ala bilirsiniz. Kumaşı da kalın, kışın sıcak tutar.",Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
25 Ocak 2025,Boy: 159cm,Kilo: 78kg,Beden: 2XL,"çok memnun kaldım, çok kullanışlı",Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
09 Ocak 2025,Boy: 158cm,Kilo: 90kg,Beden: 4XL,çok güzel tam kalıp..,Trendyol Curve Siyah Desenli Düğmeli Triko Elbise TBBAW25AH00038
02 Ekim 2024,Boy: 169cm,Kilo: 107kg,Beden: 50,"Boyum 169, kilom 107. Elbiseyi 50 beden aldım, tam istediğim gibi oldu. sadece rengi konusunda biraz memnun kalmadım. Onun dışında gayet kaliteli ve güzel bir elbise.",Trendyol Curve Mavi Dokuma Beli Lastik ve Düğme Detaylı Elbise TBBSS22EL1563
01 Ağustos 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 46,Ürün çok güzel severek giyiyorum 105 kiloyum 46 beden oldu .üst bölgem 95 100 giyiyorum ona göre alın bedeni,Trendyol Curve Mavi Dokuma Beli Lastik ve Düğme Detaylı Elbise TBBSS22EL1563
22 Temmuz 2024,Boy: 170cm,Kilo: 79kg,Beden: 48,Elbise güzel ama kumaşı bir tik kalın ben yıtmaç açtırarak kullandım 170 boy 110 kg 48 beden aldın,Trendyol Curve Mavi Dokuma Beli Lastik ve Düğme Detaylı Elbise TBBSS22EL1563
16 Temmuz 2023,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,Çok güzel bir ürün çok beğendim kendi bedeninizi alın bence 😌,Trendyol Curve Mavi Dokuma Beli Lastik ve Düğme Detaylı Elbise TBBSS22EL1563
09 Temmuz 2023,Boy: 168cm,Kilo: 88kg,Bilgi mevcut değil,Merhaba elbise fiyatına göre çok kaliteli çok güzel tam beden aşınmasını tavsiye ederim. 46 beden giydiğim beden oldu👏,Trendyol Curve Mavi Dokuma Beli Lastik ve Düğme Detaylı Elbise TBBSS22EL1563
29 Haziran 2023,Boy: 158cm,Kilo: 119kg,Bilgi mevcut değil,Çok beğendim tam beden alınablr,Trendyol Curve Mavi Dokuma Beli Lastik ve Düğme Detaylı Elbise TBBSS22EL1563
23 Haziran 2023,Boy: 155cm,Kilo: 70kg,Bilgi mevcut değil,Sağlam paketlenmiş hasarsız geldi. bebeğim için aldım mamalarına katmak için çok teşekkür ederim.,Trendyol Curve Mavi Dokuma Beli Lastik ve Düğme Detaylı Elbise TBBSS22EL1563
22 Haziran 2023,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,"Hamileyim üstüme rahat olsun diye sipariş verdim, yırtık elbise gönderdiğiniz için teşekkür ederim başıma iş çıktı",Trendyol Curve Mavi Dokuma Beli Lastik ve Düğme Detaylı Elbise TBBSS22EL1563
