Tarih,Boy,Kilo,Beden,Yorum,Ürün Adı
28 Ocak 2025,Boy: 164cm,Kilo: 60kg,Beden: 38,"Kumaşi güzel,biraz bol kalip,tam otursun diyen bir küçük beden alabilir.",TRENDYOLMİLLA Gül Kurusu Volan Detaylı Astarlı Dantel Örme Şık Elbise TPRSS25EL00034
20 Aralık 2024,Boy: 170cm,Kilo: 65kg,Beden: 38,Büzgüzü kalça kısmına denk gelmiyor bir tık üstünde onun harici güzel bir elbise m beden aldım,TRENDYOLMİLLA Siyah Degaje Yaka Aksesuar Detaylı Astarlı Tül Örme Şık Elbise TPRSS25EL00042
21 Aralık 2024,Boy: 150cm,Kilo: 55kg,Beden: 38,Yakası çok açılıyor ve arkasındaki Büzgülü detayı kötü bir yerde ne kalçamda ne de sırta doğru o duruşunu beğenmedim iade edeceğim. Ara bedenseniz küçük olanı alın.,TRENDYOLMİLLA Siyah Degaje Yaka Aksesuar Detaylı Astarlı Tül Örme Şık Elbise TPRSS25EL00042
19 Aralık 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 38,"Bu fiyata mükemmel bir elbise, vücudu harika gösteriyor. Esnek bir yapısı var. 165 boy 65 kg M aldım çok hafif bel kısmında potluk oldu ben tam sarsın istediğim için iade edip S alacağım.",TRENDYOLMİLLA Siyah Degaje Yaka Aksesuar Detaylı Astarlı Tül Örme Şık Elbise TPRSS25EL00042
10 Ocak 2025,Boy: 175cm,Kilo: 90kg,Beden: 42,Kumaşı güzel ben normalde 44 bedenim ama 42 de oldu potluk vesaire olmadı,TRENDYOLMİLLA Siyah Degaje Yaka Aksesuar Detaylı Astarlı Tül Örme Şık Elbise TPRSS25EL00042
30 Aralık 2024,Boy: 170cm,Kilo: 70kg,Beden: 42,Elbise çok tatlı güzel bir elbise kelebek detayları güzel ama kalça kısmında olması gereken büzgülü kısım kalçanın yukarısında kalıyor ya da benim popom mu çok aşağıda anlamadım ama büzgülü kısım hipdiplerimi kapattı bu güzel oldu ben beğendim genel olarak iadeye gitmeyecek 170 68 kiloyum tam beden 42 aldım hafif esnek yapıda güzel,TRENDYOLMİLLA Siyah Degaje Yaka Aksesuar Detaylı Astarlı Tül Örme Şık Elbise TPRSS25EL00042
24 Aralık 2024,Boy: 160cm,Kilo: 72kg,Beden: 42,Ürün resimdeki gibi kalıbı çok iyi vücuda tam oturuyor çok güzel 🙏🏻👍🏻bedeninizi alabilirsiniz,TRENDYOLMİLLA Fuşya Straplez Dokuma Şık Midi Elbise TPRSS25EL00041
12 Şubat 2025,Boy: 170cm,Kilo: 56kg,Beden: 36,"Ba-yıl-dım! 170 cm boyum, 58 kilom. Trendyolmilla ürünlerinde S ve 36 giyiyorum genelde. Beliniz ince, kalçanız geniş ise alın :)",TRENDYOLMİLLA Açık Mavi Astarlı Şifon Dokuma Kısa Şık Elbise TPRSS25EL00007
18 Ekim 2024,Boy: 168cm,Kilo: 58kg,size: M,"Ürün modeli şahane farklı güzel , kumaşıda güzel ince triko. Bı yüzden hatları belli ediyor . Güzel durmadı üstmde 168 by 58 kilo M beden aldım hafif karnım var yandan ve arkadan durusunu beğenmedim iade. Fiziği orantılı olan alsn. fiyatı ürüne göre fazla malesef",TRENDYOLMİLLA Limited Edition Haki Midi Triko Çıtçıt Detaylı Elbise TWOAW25EL00363
24 Eylül 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: M,"160 boy-62 kilo M beden tercih ettim gayet güzel oldu,trikosu yumuşacık ve kaliteli bayıldımmm❤️",TRENDYOLMİLLA Limited Edition Haki Midi Triko Çıtçıt Detaylı Elbise TWOAW25EL00363
