Tarih,Boy,Kilo,Beden,Yorum,Ürün Adı
26 Temmuz 2024,Boy: 168cm,Kilo: 70kg,Beden: 40,Kendi bedenimi aldım 1.68 boy 67 kg L beden. Rahat oldu . Düğmeleri gold değil gümüş geldi ama böyle de güzel iade etmekle uğraşmayacağım,TRENDYOLMİLLA Lacivert Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970
27 Haziran 2024,Boy: 170cm,Kilo: 80kg,Beden: 42,kumaşı ve duruşu çok güzel günlük ve özel günlerin kurtarıcısı,TRENDYOLMİLLA Lacivert Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970
24 Mayıs 2024,Boy: 160cm,Kilo: 70kg,Beden: 38,Elbise güzeldi fakat kalıbı geniş 1 beden küçük alınmalı,TRENDYOLMİLLA Lacivert Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970
06 Eylül 2024,Boy: 163cm,Kilo: 63kg,Beden: 40,40 isteniyor neden 42 gönderiyorsunuz 🙄,TRENDYOLMİLLA Lacivert Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970
28 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 42,"75 kg 1.68 boy , elbise 42 beden çok güzel oldu",TRENDYOLMİLLA Lacivert Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970
27 Haziran 2024,Boy: 168cm,Kilo: 59kg,Beden: 38,"Gordelde altin dugme, teslim edilen gumus dugme! Paketi bile acmadan iade yani boyle sacmalik yok",TRENDYOLMİLLA Lacivert Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970
26 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 34,"Bana gelen ürünün düğmeleri gold değil bence elbiseye hava karan gold detaydı i, iade edicem",TRENDYOLMİLLA Lacivert Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970
22 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 42,Çok güzel xl aldım üst kısmı biraz bol ama kötü durmuyor,TRENDYOLMİLLA Lacivert Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970
15 Haziran 2024,Boy: 162cm,Kilo: 56kg,Beden: 36,Bana gelen gümüş renk düğmeleri herkesin gold kendi bedenimi aldım üst ve alt kısmı çok iyi oldu bol bol hatta ama bel kısmı bir tık dar geldi iade edip etmeme konusunda da çok kararsızım 1.61 boy 57 kilo 36 beden,TRENDYOLMİLLA Lacivert Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970
14 Mayıs 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 38,çok guzel bir elbise tam beden alın,TRENDYOLMİLLA Lacivert Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970
08 Mayıs 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 34,Tek kelimeyle bayıldım 56 kiloyum S beden aldım muhteşem,TRENDYOLMİLLA Lacivert Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970
