Tarih,Boy,Kilo,Beden,Yorum,Ürün Adı
22 Ocak 2025,Boy: 168cm,Kilo: 98kg,Beden: 50,Çok rahat ve kiloyu gizliyo bayıldım. Beden tablosuna göre aldım 50 beden terzide kol altını daralttım,Trendyol Curve Kırmızı Fiyonklu Tek Omuz Dokuma Abiye/Gece/Mezuniyet/Nişan Elbisesi TBBSS25AH00053
17 Ocak 2025,Boy: 170cm,Kilo: 101kg,Beden: 46,Ürün çok güzel 170 boy 100 kilo 46 beden aldım göbeği baseni çok güzel kapatıyor kurtarıcı bir ürün yeri çok güzel,Trendyol Curve Kırmızı Fiyonklu Tek Omuz Dokuma Abiye/Gece/Mezuniyet/Nişan Elbisesi TBBSS25AH00053
03 Şubat 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 50,Elbise Harika Sadece Ben 50 Beden Almıştım Üst Kısmı Büyük Geldi Daraltma Yaptım Açık Omuz Kısmına Taş Ekledim Farklılık Olsun Diye İstememde Kullandım Mükemmel Bir Elbise ❤️,Trendyol Curve Kırmızı Fiyonklu Tek Omuz Dokuma Abiye/Gece/Mezuniyet/Nişan Elbisesi TBBSS25AH00053
10 Ocak 2025,Boy: 173cm,Kilo: 110kg,Beden: 48,o kadar güzel bir ürün ki renk olarak da kumaş olarak da ama bana uymadı o yüzden üzülerek iade etmek zorundayım,Trendyol Curve Kırmızı Fiyonklu Tek Omuz Dokuma Abiye/Gece/Mezuniyet/Nişan Elbisesi TBBSS25AH00053
07 Ocak 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 46,ince gösterdi renginden dolayı kili belli eder dedim ama yok kumaşı kesimi bir harika,Trendyol Curve Kırmızı Fiyonklu Tek Omuz Dokuma Abiye/Gece/Mezuniyet/Nişan Elbisesi TBBSS25AH00053
06 Ocak 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 50,KUMAŞ FENA DEĞİL AMA DİKİM İTİNALI YAPILMIYOR NEDENSE.,Trendyol Curve Kırmızı Fiyonklu Tek Omuz Dokuma Abiye/Gece/Mezuniyet/Nişan Elbisesi TBBSS25AH00053
30 Aralık 2024,Boy: 165cm,Kilo: 108kg,Beden: 46,"İsteme törenimde giydim, sadelikte ki şıklık denebilecek bir elbise. 165 boyum 5 cm topuklu ile boyu tam oldu.",Trendyol Curve Kırmızı Fiyonklu Tek Omuz Dokuma Abiye/Gece/Mezuniyet/Nişan Elbisesi TBBSS25AH00053
02 Şubat 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 42,göğüs kısmı olmadı yoksa beden tamdır ama mükemmel kaliteli,Trendyol Curve Kırmızı Fiyonklu Tek Omuz Dokuma Abiye/Gece/Mezuniyet/Nişan Elbisesi TBBSS25AH00053
25 Ocak 2025,Boy: 162cm,Kilo: 130kg,Beden: 52,Tam bir fiyat performans ürünü,Trendyol Curve Kırmızı Fiyonklu Tek Omuz Dokuma Abiye/Gece/Mezuniyet/Nişan Elbisesi TBBSS25AH00053
17 Ocak 2025,Boy: 160cm,Kilo: 82kg,Beden: 46,Siparişden 3 gun sonra kargoya verildi gec geldi ürünüm,Trendyol Curve Kırmızı Fiyonklu Tek Omuz Dokuma Abiye/Gece/Mezuniyet/Nişan Elbisesi TBBSS25AH00053
09 Ocak 2025,Boy: 158cm,Kilo: 72kg,Beden: 48,Aaaaaşıkkkk oldum kusursuz gönül rahatlığıyla alabilirsiniz teşekkürler curveeeee🥰💋,Trendyol Curve Kırmızı Fiyonklu Tek Omuz Dokuma Abiye/Gece/Mezuniyet/Nişan Elbisesi TBBSS25AH00053
04 Ocak 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 46,Çok güzel bir beden küçük alın,Trendyol Curve Kırmızı Fiyonklu Tek Omuz Dokuma Abiye/Gece/Mezuniyet/Nişan Elbisesi TBBSS25AH00053
