Tarih,Boy,Kilo,Beden,Yorum,Ürün Adı
16 Ocak 2025,Boy: 158cm,Kilo: 73kg,Beden: 38,Kumaşı rengi gayet iyi alınır,TRENDYOLMİLLA Saks Ekose / Kareli Mini  Dokuma Elbise TWOAW21EL0532
31 Ocak 2025,Boy: 160cm,Kilo: 75kg,Beden: 42,aşırı güzel tam beden,TRENDYOLMİLLA Saks Ekose / Kareli Mini  Dokuma Elbise TWOAW21EL0532
16 Ocak 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 38,biraz orantısız bir elbise .42 aldım kocaman oldu .38 aldım dar oldu .pes etmek yok 40 i olacak herhalde 🤣 ama beğendim,TRENDYOLMİLLA Saks Ekose / Kareli Mini  Dokuma Elbise TWOAW21EL0532
17 Aralık 2024,Boy: 160cm,Kilo: 65kg,Beden: 40,Kumaşı kalitesi çok güzel bir elbise görselde ki renkle aynı geldi 160 boy 60 kilo 42 büyük geldi iade edip 40 aldım,TRENDYOLMİLLA Saks Ekose / Kareli Mini  Dokuma Elbise TWOAW21EL0532
27 Şubat 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 40,Ürün çok güzel bedeni bir tık geniş oldu ama ben sıkıntı etmedim boyu çok iyi kupon ve özel indirimle 110₺ aldım bedava resmen bu elbise bu fiyata,TRENDYOLMİLLA Saks Ekose / Kareli Mini  Dokuma Elbise TWOAW21EL0532
07 Kasım 2024,Boy: 163cm,Kilo: 45kg,Bilgi mevcut değil,ürünü alalı çok oldu ve çok kez giymiş olmama rağmen bir yıpranma yok kalıbı tam oturdu,TRENDYOLMİLLA Mor Astarlı Dokuma Saten Şık Abiye Elbise TPRSS19BB0058
16 Mayıs 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 36,"ürün adında saten yazıyor ama aşağı kaydırısanız polyester yazdığını görürsünüz, üstte kafam kadar saten yazdığı için ben de saten sanarak almıştım ancak asla saten değil hatta biraz daha ince olsaymış şifon olurmuş. içinde bir parça astar vardı, en azından elbiseyi denerken utanmadım. rengi güzeldi ama yalan yok. iade.",TRENDYOLMİLLA Mor Astarlı Dokuma Saten Şık Abiye Elbise TPRSS19BB0058
15 Mayıs 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 36,"Basit duruyor ve kalıbına bi sıkıntı var. Ayrıca lütfen basen kısmına etiket koyma fikrinden bu gibi elbiseler için artık vazgeçin. Türk kadını hafif basenlidir zaten, siz oraya ansiklopedi gibi etiket koyduğunuzda daha da basenliymiş gibi pot pot duruyor..",TRENDYOLMİLLA Mor Astarlı Dokuma Saten Şık Abiye Elbise TPRSS19BB0058
20 Mart 2024,Boy: 163cm,Kilo: 59kg,Beden: 38,"Çok kötü bir ürün, dikişleri kötü kumaşı kötü. Bu fiyata çok daha iyi elbiseler alınabilir. Kumaşı saten gibi değil naylon. Hiç beğenmedim.",TRENDYOLMİLLA Mor Astarlı Dokuma Saten Şık Abiye Elbise TPRSS19BB0058
10 Eylül 2024,Boy: 160cm,Kilo: 49kg,Beden: 34,duruşu harika ama kumaşı çok kaliteli değil malesef,TRENDYOLMİLLA Mor Astarlı Dokuma Saten Şık Abiye Elbise TPRSS19BB0058
12 Ağustos 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 42,"Çok şık, ancak görselde gösterildiğinden daha koyu renk ve o kadar parlak değil",TRENDYOLMİLLA Mor Astarlı Dokuma Saten Şık Abiye Elbise TPRSS19BB0058
02 Ağustos 2024,Boy: 170cm,Kilo: 58kg,Beden: 34,"Çok basit kumaş, saten bile denmez almayın",TRENDYOLMİLLA Mor Astarlı Dokuma Saten Şık Abiye Elbise TPRSS19BB0058
03 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 42,elbise güzel ama göğüs kalıbı bir garip pot duruyor tamirat gerektirebilir alacak olanlar buna dikkat etsin,TRENDYOLMİLLA Mor Astarlı Dokuma Saten Şık Abiye Elbise TPRSS19BB0058
