Tarih,Boy,Kilo,Beden,Yorum,Ürün Adı
04 Aralık 2024,Boy: 166cm,Kilo: 120kg,size: 5XL,Güzel bir puanı boğaz kısmı çok kalın olduğu için kırdım onun dışında çok şık ve rahat bi elbise ben uzun dursun diye bir beden büyük aldım ama tam beden alınabilir,Trendyol Curve Siyah Fitilli Balıkçı Yaka Triko Elbise TBBAW25AH00026
17 Ekim 2024,Bilgi mevcut değil,Bilgi mevcut değil,size: 2XL,Çok büyük bi beden küçük alınmalı.,Trendyol Curve Siyah Fitilli Balıkçı Yaka Triko Elbise TBBAW25AH00026
19 Şubat 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,gayet güzel göründüğü gibi tam beden alın,Trendyol Curve Siyah Fitilli Balıkçı Yaka Triko Elbise TBBAW25AH00026
01 Şubat 2025,Boy: 165cm,Kilo: 95kg,Beden: 3XL,Kışlık güzel kalın elbise,Trendyol Curve Siyah Fitilli Balıkçı Yaka Triko Elbise TBBAW25AH00026
28 Kasım 2024,Boy: 165cm,Kilo: 85kg,size: 2XL,"Model güzel. Normalde 165 boy- 95 kiloya 46-48 giyorum ama bu model çok geniş olduğu için 2xl iyi oldu. Kalın triko elbise. Boyu ideal. Ben de duruşunu sevdim. Yalnız bir şikayetim var; ister curve, ister milla vs alayım, özelliklede siyah ürünler leş gibi kokuyor. Acayip petrol mu desem, boyamı, naylon mu bilemiyorum. Bu trikodada, normal kumaşla
Devamını Oku",Trendyol Curve Siyah Fitilli Balıkçı Yaka Triko Elbise TBBAW25AH00026
16 Kasım 2024,Boy: 168cm,Kilo: 82kg,Bilgi mevcut değil,cok guzel.normal 42_44 beden giyiyorm xl tam oldu.kumasi cok guzel.kesinlikle gönül rahatlığıyla alabilirsiniz,Trendyol Curve Siyah Fitilli Balıkçı Yaka Triko Elbise TBBAW25AH00026
06 Kasım 2024,Bilgi mevcut değil,Bilgi mevcut değil,size: 5XL,"Trikosu çok kaliteli, kalınlığı harika. 110 kg 1.71 boy 5XL aldım tam oturdu. Triko olduğu için esneme payı olabilir diye düşünüyorum. Boyu bileklerimin bir tık üstünde kaldı. Kışın sıcacık giy çık🥰 Kargo da çok hızlıydı ve özenle paketlenmişti. Teşekkür ederim🤗",Trendyol Curve Siyah Fitilli Balıkçı Yaka Triko Elbise TBBAW25AH00026
03 Mart 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 5XL,Çok güzel. Biraz esniyor.,Trendyol Curve Siyah Fitilli Balıkçı Yaka Triko Elbise TBBAW25AH00026
30 Ocak 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 5XL,yaxşıdır.ama tez tiftiklendi,Trendyol Curve Siyah Fitilli Balıkçı Yaka Triko Elbise TBBAW25AH00026
09 Aralık 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,"Dokusu , trikosu güzel ama kilodan dolayı üstümde duruşunu sevmedim o yüzden iade",Trendyol Curve Siyah Fitilli Balıkçı Yaka Triko Elbise TBBAW25AH00026
