Tarih,Boy,Kilo,Beden,Yorum,Ürün Adı
20 Ocak 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 44,"f/p ürünü, kesimi güzel. rengi sanki daha koyu gibi geliyor ama bence fark yok. 1 beden küçük alınabilir.",Trendyol Curve Lacivert Çiçekli Bisiklet Yaka Balon Kollu Mini Dokuma Büyük Beden & Hamile Elbise TBBAW25AH00091
12 Kasım 2024,Bilgi mevcut değil,Bilgi mevcut değil,size: 46,harika bir elbise üstümde yok gibi rahat incecik mevsimlik bir elbise kışın üşütür.,Trendyol Curve Lacivert Çiçekli Bisiklet Yaka Balon Kollu Mini Dokuma Büyük Beden & Hamile Elbise TBBAW25AH00091
13 Ekim 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 42,Çox gözəl böyük bədən,Trendyol Curve Lacivert Çiçekli Bisiklet Yaka Balon Kollu Mini Dokuma Büyük Beden & Hamile Elbise TBBAW25AH00091
04 Ekim 2024,Boy: 157cm,Kilo: 103kg,Beden: 48,48 yerine 46 bile alsam olurmuş. çok sık ve rahat bi elbise. yalnız etikette siyah dese aslinda lacivert bir elbise. siyah olsa daha çok sevebilirdim.,Trendyol Curve Lacivert Çiçekli Bisiklet Yaka Balon Kollu Mini Dokuma Büyük Beden & Hamile Elbise TBBAW25AH00091
11 Mart 2025,Boy: 168cm,Kilo: 104kg,Beden: 48,elbiseyi çok sevdim tam istediğim gibi. kargo hızlıydı,Trendyol Curve Lacivert Çiçekli Bisiklet Yaka Balon Kollu Mini Dokuma Büyük Beden & Hamile Elbise TBBAW25AH00091
09 Mart 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 46,"Elbisenin kumaşı güzel ama eğer omuzlarınız geniş ve göğsünüz büyükse elbise göğüsten sıkabiliyor. Göğüs kısmından sonra kiloş gibi indiği için olduğunuzdan daha kilolu gösterebiliyor. Big size elbisesi değilde daha çok hamişler için tasarlanmış bir elbise,kumaşını çok sevmiş olsamda iade 😅",Trendyol Curve Lacivert Çiçekli Bisiklet Yaka Balon Kollu Mini Dokuma Büyük Beden & Hamile Elbise TBBAW25AH00091
23 Aralık 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 44,Ürünün kumaşı satene benziyor ama saten değil. kumaşın kendi özelliğinden dolayı daha çok laciverte benziyor.üzerinde kumaşın kendinden çiçek baskıları var. Yakından çekilmiş halinin fotoğrafını ekliyorum.beden konusunda kendi kilonuza göre düşünüp ona göre alırsınız. kesiminden dolayı beline kemer kullanmayı düşünüyorum.,Trendyol Curve Lacivert Çiçekli Bisiklet Yaka Balon Kollu Mini Dokuma Büyük Beden & Hamile Elbise TBBAW25AH00091
05 Aralık 2024,Boy: 160cm,Kilo: 72kg,size: 44,tamamen naylon.,Trendyol Curve Lacivert Çiçekli Bisiklet Yaka Balon Kollu Mini Dokuma Büyük Beden & Hamile Elbise TBBAW25AH00091
31 Ekim 2024,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,dokusu kesimi çok güzel. omuzlariniz geniş değilse bir beden küçük alın.,Trendyol Curve Lacivert Çiçekli Bisiklet Yaka Balon Kollu Mini Dokuma Büyük Beden & Hamile Elbise TBBAW25AH00091
01 Mart 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 48,kolları kısa geldi bana boyum 170,Trendyol Curve Lacivert Çiçekli Bisiklet Yaka Balon Kollu Mini Dokuma Büyük Beden & Hamile Elbise TBBAW25AH00091
26 Şubat 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 48,maalesef iade ettim kumaşı hoşuma gitmedi,Trendyol Curve Lacivert Çiçekli Bisiklet Yaka Balon Kollu Mini Dokuma Büyük Beden & Hamile Elbise TBBAW25AH00091
17 Şubat 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 50,On yıldız olsa veririm,Trendyol Curve Lacivert Çiçekli Bisiklet Yaka Balon Kollu Mini Dokuma Büyük Beden & Hamile Elbise TBBAW25AH00091
20 Ocak 2025,Boy: 164cm,Kilo: 58kg,Beden: S,bayıldımmmm gerçekten çok iyi olduuuu S beden aldım kilom 59 cuk olduuu kesinikle alın aldırınn,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
15 Ocak 2025,Boy: 168cm,Kilo: 58kg,Beden: S,Bayıldım. Çok güzel kumaşı var rengi de aynı görseldeki gibi,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
11 Ocak 2025,Boy: 163cm,Kilo: 64kg,Beden: L,Alt tarafı daha geniş olablrdı 163 boy 64 Kılo L beden aldım basenlı oldgm için iyi oldu basenlı deılsenz bır beden küçük alablrsnz ama genel olarak güzel,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
06 Ocak 2025,Boy: 163cm,Kilo: 56kg,Beden: S,Evet elbise çok güzel ama ben mi kilo aldım bilmiyorum. 1.63 56 kilo s beden çok rahat olurdu normalde ama çok dar oldu. İade etmeyeceğim kilo vereceğim elbise güzel,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
12 Kasım 2024,Boy: 168cm,Kilo: 57kg,size: S,Gayet güzel sadece bi tık bol olması için büyük alabilirdim,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
09 Kasım 2024,Boy: 167cm,Kilo: 67kg,size: L,elbise cok güzel tam mankendeki gibi duruyo bedeniniz neyse onu alin vucuda oturan bi elbise. 1.65 boy 63 kilo L aldm,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
25 Ekim 2024,Boy: 159cm,Kilo: 69kg,size: S,Rengi çok güzel kumaşının modeli de çok hoş ancak ince dikkatli giymem gerekiyor gibi bir hissiyat veriyo 64 kiloyum S beden aldım tam oldu esnek kumaş bir beden küçük alınabilir boyu tam oldu boyum 158,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
07 Ekim 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: S,Harika harika harika tek kelimeyle 167 boy 60 kilo m beden aldım başka renkleri de gelse alırım,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
16 Ocak 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: XS,duruşu çok güzel ve sarıyor,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
11 Ocak 2025,Boy: 170cm,Kilo: 74kg,Beden: M,Bayıldımm kumaşı duruşu boyu çok güzel tam kalıppp alın aldırın kızlarrrr 🤗,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
09 Ocak 2025,Boy: 157cm,Kilo: 65kg,Beden: M,Mükemel mükemmel,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
06 Ocak 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: L,Alın aldırın arkadaşlar inanılmaz dokusu rengi,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
04 Ocak 2025,Boy: 170cm,Kilo: 70kg,Beden: L,Çok güzel büyük beden alınabilir,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
30 Aralık 2024,Boy: 163cm,Kilo: 57kg,Beden: XS,Ben bayıldım,TRENDYOLMİLLA Zümrüt Yeşili Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097
