Tarih,Boy,Kilo,Beden,Yorum,Ürün Adı
18 Eylül 2024,Boy: 174cm,Kilo: 95kg,Beden: 2XL,174 boy 97 kilo tam oldu 2xl,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
01 Aralık 2023,Bilgi mevcut değil,Bilgi mevcut değil,Beden: XL,Kardeşime aldım. Çok beğendi. Çok yakıştı. Teşekkür ederim,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
27 Mayıs 2023,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,Çok güzel çok kaliteli harika rahat bedeninizi alın,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
25 Nisan 2023,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,"Kumaşı, duruşu harika bir elbise 🤩 alın, aldırın 👍🏻 ben 1.60 boy 95 kg 3xl aldım güzel oldu bir küçüğü de olurmuş ama bu sefer çok yapışırdı.",Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
26 Nisan 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,"46 beden giyen biris olarak xxl aldım, bence xl de olurmuş, vaktim olmadığı için değişim yapamadım. Kumaşı uçuş uçuş, gögsü biraz açılıyor ona da artık içten dikerek çözüm buldum. Altına topuklu ile gece için şık, spor ayakkabı ile gündüz de kullanılabilecek bir elbise, beğendim.",Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
19 Kasım 2024,Boy: 173cm,Kilo: 83kg,size: 2XL,süper elbisenin duruşu çok şık,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
26 Eylül 2023,Boy: 165cm,Kilo: 97kg,Beden: 3XL,Gerçekten kurtarıcı herkesin dolabında olması gereken bir elbise çok rahat tiril tiril ben bayıldımm,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
20 Eylül 2023,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,kızım için aldım gayet güzel rahat şık bir elbise eteği uzun geldiği için biraz aldırdık kumaşı içi göstermiyor gayet hoş günlük kullanım için bile alınabilir,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
03 Mayıs 2023,Boy: 170cm,Kilo: 85kg,Bilgi mevcut değil,Giydiğim en rahat en güzel elbise diyebilirim tiril tiril bi kumaşı var çok güzel bi duruşu var hızlı teslimat teşekkürler,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
02 Mayıs 2023,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,90 kg 3xl aldım bel kısmında bolluk var 2xl çok rahat olurmuş rahat kalıp çok güzel giy çık elbisesi 😉,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
28 Nisan 2023,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,"Güzel bir elbise. İnce, esnek kumaş. Rengi koyu. İç göstermiyor. bedeninizi alabilirsiniz. Gardrobumun demirbaş parçası oldu. Alıcıya teşekkür ederim.",Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
20 Nisan 2023,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,160 boyunda 98kilo civariyim 3xl aldım üzerime çok rahat oldu kumasina bayıldım döküm döküm kesinlikle tavsiye ederim,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
08 Nisan 2023,Bilgi mevcut değil,Bilgi mevcut değil,Beden: XL,"1.60 87, XL annem için aldım çok kibar çok güzel oldu. kumaşı çok esnek bir beden küçük alınabilir.",Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
03 Nisan 2023,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,harika bir kumaşı var okadar güzel rahatki ve çok güzel oldu teşekkürler,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
25 Mart 2023,Bilgi mevcut değil,Bilgi mevcut değil,Beden: XL,160 boy 75 kiloya xl bedeni aldım tam oldu esneyen kumaşı olduğu için daha kilolu birinede rahatlıkla olucaktır göğüs kısmı kruvaze ve açık olduğu için bir iğne yardımıyla tutturdum çok güzel ve kurtarıcı bir elbise kesinlikle büyük beden bütün kadınların dolabında olmalı,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
22 Kasım 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 4XL,elbise çok salaş,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
02 Kasım 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: XL,Doğum günüm için almıştım çok rahat ve çok şık çok severerk giyiyorum. Dekoltesi benim için fazlaydı ama o benim tercihimle ilgili.,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
16 Ekim 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,çok güzel aşırı rahat bir elbise kumaşı çok güzel bedeninizi rahatlıkla alabilirsiniz,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
08 Ekim 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,Teyzeme aldım genç kız gibi oldu zayıf gösterdi çok şık bi elbise yakın düğünler için filan da kullanılır,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
26 Ağustos 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 4XL,"Ürün gayet güzel, 170 boyunda 120 kilo civarlarındayım 48 beden üzerime cuk diye oturdu, uzunluğu dizimin altına geldi, önü biraz açık ama iğneyle halledilir, kumaşıda güzel kırışma yapmaz",Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
07 Temmuz 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,"Ürün güzel, kalıp da iyiydi. İndirimdeyken almıştım 140 TL civarındaydı. Satıcıya teşekkür ederim.",Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
07 Haziran 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,kumaş jarse berbat elbisenin ön kısmı daha uzun sarkma var hiç beğenmedim iade süresini kaçırdım 😡,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
25 Nisan 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,"Kumaşını beğendim, dökülüşü güzel. Boyum 174 ama 44bedeni biraz etek boyu uzun durdu. Yine de beğendim sade, şık kurtarıcı bir parça. Teşekkürler",Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
24 Nisan 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,Tam istediğim elbiseyi buldum. Bedeninizi alabilirsiniz.,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
19 Nisan 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,Inanilmaz güzel bir elbise fakat iade etmek zorunda kaldim. Kendimi mankenden daha kilolu zannedip 5xl siparis verdim. .:),Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
16 Nisan 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,84 kilo 156 boya 3 xl aldım Ablam bayıldı. Kumaşı aşırı kaliteli tavsiye ederim,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
15 Mart 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,harika bir elbise çok rahat kiloyuda belli etmiyor tam bedeninizi alın,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
29 Ocak 2025,Boy: 160cm,Kilo: 80kg,Beden: 2XL,Bayıldım gerçekten şahane,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
23 Aralık 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 4XL,Dolaplarda olması gereken kurtarıcı bir parça bence.Ben bilerek bir beden büyük aldım tabi yorumlardan da okuyarak. İyiki öyle almışım hiç yapışmadi üstüme güzel durdu. Başka kemerlerle de daha ayrı bir hava katıyor.,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
13 Aralık 2024,Boy: 88cm,Kilo: 11kg,Beden: 2XL,"Harika bir elbise, o kadar kurtarıcı ki günlük özel gün hepsinde giyilir bayıldım tek kelimeyle tam beden",Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
18 Eylül 2024,Boy: 174cm,Kilo: 95kg,Beden: 2XL,174 boy 97 kilo tam oldu 2xl,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
01 Aralık 2023,Bilgi mevcut değil,Bilgi mevcut değil,Beden: XL,Kardeşime aldım. Çok beğendi. Çok yakıştı. Teşekkür ederim,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
27 Mayıs 2023,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,Çok güzel çok kaliteli harika rahat bedeninizi alın,Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
25 Nisan 2023,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,"Kumaşı, duruşu harika bir elbise 🤩 alın, aldırın 👍🏻 ben 1.60 boy 95 kg 3xl aldım güzel oldu bir küçüğü de olurmuş ama bu sefer çok yapışırdı.",Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
26 Nisan 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,"46 beden giyen biris olarak xxl aldım, bence xl de olurmuş, vaktim olmadığı için değişim yapamadım. Kumaşı uçuş uçuş, gögsü biraz açılıyor ona da artık içten dikerek çözüm buldum. Altına topuklu ile gece için şık, spor ayakkabı ile gündüz de kullanılabilecek bir elbise, beğendim.",Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176
