Tarih,Boy,Kilo,Beden,Yorum,Ürün Adı
06 Mart 2025,Boy: 163cm,Kilo: 52kg,Beden: 38,kumaşı ince gögüs kol alto çok açık . boyu iyi ama iade,TRENDYOLMİLLA Kırmızı Düz Kemerli Maxi Dokuma Elbise TWOSS23EL01628
05 Mart 2025,Boy: 165cm,Kilo: 65kg,Beden: 42,Kumaşı cok iyi yanlız bi dikim hatası vardı eteğinde ama çok beğendimden geri iade etmiyorum,TRENDYOLMİLLA Kırmızı Düz Kemerli Maxi Dokuma Elbise TWOSS23EL01628
10 Mart 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 36,Bir beden küçük alınız elbise tek kelime ile şahane,TRENDYOLMİLLA Pembe Düz Vücudu Saran Fiyonklu Dokuma Finike Midi Astarsız Şık/Gece Elbise
11 Ekim 2024,Boy: 163cm,Kilo: 57kg,Beden: 36,Dar geldiği için iade ettim 57 kiloyum s beden almıştım dar geldi. Elbise görseldeki gibi geldi herhangi hatası yoktu alınabilir.,TRENDYOLMİLLA Siyah Dik Yaka Dokuma Elbise TCLAW19LJ0076
09 Eylül 2024,Boy: 157cm,Kilo: 65kg,Beden: 40,ürün çok güzell efsoo 1.57 boyum 65 kiloyum L beden aldım gayet güzel oldu bence çok kurtarıcı bir elbise kesinle tavsiye ederim kusursuz bir şekilde geldi teşekkurler Trendyol mila👍,TRENDYOLMİLLA Siyah Dik Yaka Dokuma Elbise TCLAW19LJ0076
08 Aralık 2023,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 36,"1.63 boy, 55 kilo. S beden aldım, kolları uzun oldu, yukarı çekerek giyince de hoş duruyor, sevdim.",TRENDYOLMİLLA Siyah Dik Yaka Dokuma Elbise TCLAW19LJ0076
22 Kasım 2023,Boy: 160cm,Kilo: 65kg,Beden: 38,"Bayıldım, 65 kiloyum M beden aldım tam oldu ✨",TRENDYOLMİLLA Siyah Dik Yaka Dokuma Elbise TCLAW19LJ0076
13 Kasım 2023,Boy: 156cm,Kilo: 71kg,Beden: 42,Harika bir ürün 156 boyunda 72 kiloyum vücut tipim armut 🍐 kalçalı olmama rağmen L beden yani 42 aldım duruşu elbise inanılmaz güzel 👍🏻 alın aldırın 👗,TRENDYOLMİLLA Siyah Dik Yaka Dokuma Elbise TCLAW19LJ0076
23 Eylül 2023,Boy: 165cm,Kilo: 50kg,Beden: 36,Bayıldim gerçekten çok güzel bir elbise bekledigiminde üstünde geldi teşekkür ederim 47 kiloyum 36 aldım biraz dökümlu durdu sıkıntı değil çok beğendim,TRENDYOLMİLLA Siyah Dik Yaka Dokuma Elbise TCLAW19LJ0076
08 Ağustos 2023,Boy: 160cm,Kilo: 47kg,Bilgi mevcut değil,severek giydim s beden tam oldu m de olurmuş kumaşı çok güzel renkleri herşeyi,TRENDYOLMİLLA Siyah Dik Yaka Dokuma Elbise TCLAW19LJ0076
26 Temmuz 2023,Boy: 175cm,Kilo: 60kg,Bilgi mevcut değil,Omuz kısmından biraz sıkıyor ama yine de çok beğendim bir 75 boyunda 60 kiloyum s beden aldım,TRENDYOLMİLLA Siyah Dik Yaka Dokuma Elbise TCLAW19LJ0076
17 Temmuz 2023,Boy: 162cm,Kilo: 58kg,Bilgi mevcut değil,coook guzelll bayılarak giyiyoruum 58 kiloya s beden aldim küçük oldu m ile değişim yaptım tam olduu,TRENDYOLMİLLA Siyah Dik Yaka Dokuma Elbise TCLAW19LJ0076
16 Haziran 2023,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,"Çok şık bir elbise,tam beden alabilirsiniz",TRENDYOLMİLLA Siyah Dik Yaka Dokuma Elbise TCLAW19LJ0076
11 Haziran 2023,Boy: 165cm,Kilo: 61kg,Bilgi mevcut değil,Bir beden büyük alınmalı. Normalde M giyiyorum ama dar oldu L daha iyi olurdu iade ettim.,TRENDYOLMİLLA Siyah Dik Yaka Dokuma Elbise TCLAW19LJ0076
