Ürün Adı,Adet,min_date,max_date,date_diff,olumlu_sayi,olumsuz_sayi
TRENDYOLMİLLA Siyah Taş Detaylı Skater/Belden Açılan Kısa Kollu Mini Örme Kalem Elbise TWOAW24EL00395,264,2023-09-07,2025-03-10,550,257,7
TRENDYOLMİLLA Beyaz Skater/Belden Açılan Brode Mini Astarlı Dokuma Elbise TWOSS21EL3680,263,2022-03-16,2024-10-18,947,200,63
TRENDYOLMİLLA Siyah Baskılı Fitted/Vücuda Oturan Tek Omuz Asimetrik Büzgü Detaylı Örme Kalem Elbise TWOSS23EL02182,261,2023-06-06,2024-11-12,525,239,22
Trendyol Curve Floral Desenli Kemerli Mini Dokuma Elbise TBBSS22EL00039,261,2022-04-17,2025-03-09,1057,228,33
TRENDYOLMİLLA Siyah Kemerli A Kesim Piliseli Maxi Astarlı Şifon Dokuma Elbise TWOAW24EL00471,256,2023-09-13,2025-03-10,544,237,19
Trendyol Curve Siyah Dokuma Volanlı Elbise TBBSS22EL1595,254,2022-03-18,2024-11-29,987,222,32
TRENDYOLMİLLA Saks Dokuma %100 Pamuk Şerit Aksesuarlı Mini Plaj Elbisesi TBESS22EL0703,249,2022-04-04,2024-09-15,895,209,40
TRENDYOLMİLLA Pudra Çiçek Desenli Kruvaze Fırfır Detaylı Askılı Midi Şifon Astarlı Dokuma Elbise TWOSS19EL0375,249,2022-05-01,2024-08-05,827,220,29
TRENDYOLMİLLA Siyah Tüvit Dokuma Elbise TWOAW21EL0454,248,2022-03-18,2025-03-01,1079,197,51
TRENDYOLMİLLA Taş Kuşaklı A Kesim Mini Kruvaze Yaka Dokuma Keten Görünümlü Elbise TWOSS19XN0008,248,2022-03-15,2024-11-14,975,189,59
TRENDYOLMİLLA Turuncu Vücuda Oturan Cut Out/Pencere Detaylı Örme Kısa Şık Elbise TPRSS23EL00154,247,2023-03-02,2025-03-09,738,207,40
TRENDYOLMİLLA Siyah Midi Triko Polo Yaka Elbise TWOAW22EL1376,246,2022-03-14,2025-02-18,1072,223,23
TRENDYOLMİLLA Pembe Çiçek Desenli Kuşaklı A Kesim Halter Yaka Kolsuz Midi Astarlı Dokuma Elbise TWOSS20EL2536,245,2022-03-15,2024-09-17,917,195,50
TRENDYOLMİLLA Siyah Vücuda Oturan Otrişli Parlak Taşlı Dokuma Kısa Şık Abiye Elbise TPRSS23EL00255,243,2023-05-25,2025-03-10,655,193,50
TRENDYOLMİLLA Siyah Düz Kesim Kolsuz Bisiklet Yaka Mini Dokuma Elbise TWOSS19FG0063,242,2022-03-18,2024-10-14,941,188,54
TRENDYOLMİLLA Siyah Düz Kesim Nakışlı Midi Dokuma Elbise TWOAW22EL0882,242,2022-03-15,2024-06-24,832,211,31
TRENDYOLMİLLA Yeşil Vücudu Saran Kuşgözü Detaylı Yırtmaçlı Kare Yaka Midi Kalem Etek Dokuma Elbise TWOSS19EL0079,239,2022-03-11,2025-01-30,1056,216,23
TRENDYOLMİLLA Mavi Cep Detaylı Mini Denim Gömlek Elbise TWOAW23EL00643,238,2022-09-22,2025-03-10,900,204,34
TRENDYOLMİLLA Kahverengi Zebra Desenli Skater/Belden Açılan Kruvaze Yaka Mini Esnek Örme Elbise TWOAW22EL0104,238,2022-09-08,2025-03-07,911,222,16
TRENDYOLMİLLA Mavi Çiçek Desenli Düz Kesim Halter Yaka Mini Astarlı Şifon Dokuma Elbise TWOSS23EL02293,235,2023-06-06,2025-03-09,642,210,25
TRENDYOLMİLLA Haki Kemerli Düğmeli Dokuma Ceket Elbise TWOAW22EL0446,235,2022-03-12,2025-03-05,1089,201,34
TRENDYOLMİLLA Siyah Volanlı Kare Yaka Fitted/Vücuda Oturan Maxi Esnek Örme Elbise TWOAW24EL00613,233,2023-09-26,2025-03-10,531,227,6
Trendyol Curve Çok Renkli A-line Çiçek Desenli V Yaka Örme Büyük Beden Elbise TBBSS22AH00010,231,2022-04-29,2025-03-10,1046,223,8
TRENDYOLMİLLA Saks Vücuda Oturan Astarlı Parıltılı Örme Kısa Şık Abiye Elbise TPRSS21EL2596,230,2022-03-25,2025-03-10,1081,189,41
TRENDYOLMİLLA Mavi Dikiş Detaylı Oversize Denim Elbise TWOAW22EL0072,229,2022-03-17,2025-03-10,1089,201,28
TRENDYOLMİLLA Limited Edition Mavi Düğme Detaylı Straplez Mini Denim Elbise TWOSS23EL01731,228,2023-05-24,2024-11-21,547,214,14
TRENDYOLMİLLA Kahverengi Midi Triko Polo Yaka Elbise TWOAW22EL1376,226,2022-03-17,2025-02-06,1057,204,22
Trendyol Curve Siyah Kemerli Drape ve Yırtmaçlı Örme Elbise TBBSS22AH00008,225,2022-04-16,2025-02-28,1049,194,31
TRENDYOLMİLLA Kahverengi Belden Açılan Üst Bedeni Gipeli Tek Omuz Midi Dokuma Elbise TWOSS23EL01830,225,2023-03-23,2025-03-10,718,206,19
TRENDYOLMİLLA Ekru A-Kesim Mini Pamuklu Pencere/Cut Out Detaylı Detaylı Kare Yaka Dokuma Elbise TWOSS23EL00596,225,2023-03-01,2024-11-19,629,180,45
TRENDYOLMİLLA Siyah A-Kesim Balen Detaylı Dokuma Kısa Abiye Gece Elbise TPRSS22EL00065,224,2022-05-05,2024-08-27,845,175,49
Trendyol Curve Siyah Düz Kesim Örme Elbise TBBSS22EL2365,223,2022-03-15,2024-08-06,875,200,23
TRENDYOLMİLLA Tarçın Dokuma Püsküllü Cut Out/Pencere Maxi Plaj Elbisesi TBESS21EL3624,222,2022-05-19,2024-08-29,833,186,36
TRENDYOLMİLLA Pembe A-Kesim Dokuma Kısa Abiye Gece Elbise TPRSS23EL00031,222,2023-04-07,2025-03-08,701,165,57
TRENDYOLMİLLA Mavi Çiçek Desenli Kuşaklı Midi Dokuma Viskon Gömlek Elbise TWOSS20EL1559,221,2022-03-19,2024-09-08,904,192,29
TRENDYOLMİLLA Siyah Puantiyeli Belden Açılan Volanlı Bisiklet Yaka Mini Dokuma Elbise TWOAW22EL0126,221,2022-03-13,2025-03-11,1094,196,25
TRENDYOLMİLLA Bridal Ekru Dokuma Abiye Gece Elbise TPRSS21EL0053,221,2022-04-12,2024-12-01,964,199,22
TRENDYOLMİLLA Lacivert Mini Triko Gömlek Garni Detaylı Elbise TWOAW22SV0122,221,2022-03-22,2025-01-17,1032,183,38
TRENDYOLMİLLA Siyah Kruvaze Yaka Cut Out/Pencere Detaylı Örme Şık Abiye Elbise TPRAW23EL00272,220,2022-09-12,2025-01-09,850,204,16
